sentence,label,predictions
... a boring parade of talking heads and technical gibberish that will do little to advance the linux cause . ,negative,negative
"it 's of the quality of a lesser harrison ford movie - six days , seven nights , maybe , or that dreadful sabrina remake . ",negative,negative
if you enjoy more thoughtful comedies with interesting conflicted characters ; this one is for you . ,positive,positive
"the most hopelessly monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ",negative,negative
it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons . ,positive,positive
"in an effort , i suspect , not to offend by appearing either too serious or too lighthearted , it offends by just being wishy-washy . ",negative,negative
no way i can believe this load of junk . ,negative,negative
"there is a fabric of complex ideas here , and feelings that profoundly deepen them . ",positive,positive
"this tenth feature is a big deal , indeed -- at least the third-best , and maybe even a notch above the previous runner-up , nicholas meyer 's star trek vi : the undiscovered country . ",positive,positive
"not only unfunny , but downright repellent . ",negative,negative
"works hard to establish rounded characters , but then has nothing fresh or particularly interesting to say about them . ",negative,negative
just one bad idea after another . ,negative,negative
... turns so unforgivably trite in its last 10 minutes that anyone without a fortified sweet tooth will likely go into sugar shock . ,negative,negative
"his comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level . ",negative,negative
"( næs ) directed the stage version of elling , and gets fine performances from his two leads who originated the characters on stage . ",positive,positive
"a swashbuckling tale of love , betrayal , revenge and above all , faith . ",positive,positive
"for movie lovers as well as opera lovers , tosca is a real treat . ",positive,positive
"the film is quiet , threatening and unforgettable . ",positive,positive
there is no pleasure in watching a child suffer . ,negative,negative
"jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot . ",negative,negative
stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time . ,negative,negative
( d ) oes n't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful . ,positive,negative
"displaying about equal amounts of naiveté , passion and talent , beneath clouds establishes sen as a filmmaker of considerable potential . ",positive,positive
` easily my choice for one of the year 's best films . ' ,positive,positive
"a very long movie , dull in stretches , with entirely too much focus on meal preparation and igloo construction . ",negative,negative
"as a first-time director , paxton has tapped something in himself as an actor that provides frailty with its dark soul . ",positive,positive
it 's a grab bag of genres that do n't add up to a whole lot of sense . ,negative,negative
"instead of hiding pinocchio from critics , miramax should have hidden it from everyone . ",negative,negative
"portentous and pretentious , the weight of water is appropriately titled , given the heavy-handedness of it drama . ",negative,negative
"altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece . ",positive,positive
there has always been something likable about the marquis de sade . ,positive,positive
"the humor is forced and heavy-handed , and occasionally simply unpleasant . ",negative,negative
"without ever becoming didactic , director carlos carrera expertly weaves this novelistic story of entangled interrelationships and complex morality . ",positive,positive
"partway through watching this saccharine , easter-egg-colored concoction , you realize that it is made up of three episodes of a rejected tv show . ",negative,negative
"for the most part , it 's a work of incendiary genius , steering clear of knee-jerk reactions and quick solutions . ",positive,positive
"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ",positive,positive
not since freddy got fingered has a major release been so painful to sit through . ,negative,negative
"the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty . ",negative,negative
we have n't seen such hilarity since say it is n't so ! ,positive,positive
to call the other side of heaven `` appalling '' would be to underestimate just how dangerous entertainments like it can be . ,negative,negative
nothing is sacred in this gut-buster . ,negative,negative
"feels haphazard , as if the writers mistakenly thought they could achieve an air of frantic spontaneity by simply tossing in lots of characters doing silly stuff and stirring the pot . ",negative,negative
tries to add some spice to its quirky sentiments but the taste is all too familiar . ,negative,negative
"at its worst , it implodes in a series of very bad special effects . ",negative,negative
"with tightly organized efficiency , numerous flashbacks and a constant edge of tension , miller 's film is one of 2002 's involvingly adult surprises . ",positive,positive
a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar . ,negative,negative
"a warm but realistic meditation on friendship , family and affection . ",positive,positive
"at times , the suspense is palpable , but by the end there 's a sense that the crux of the mystery hinges on a technicality that strains credulity and leaves the viewer haunted by the waste of potential . ",negative,negative
"while the resident evil games may have set new standards for thrills , suspense , and gore for video games , the movie really only succeeds in the third of these . ",negative,negative
it 's a remarkably solid and subtly satirical tour de force . ,positive,positive
director andrew niccol ... demonstrates a wry understanding of the quirks of fame . ,positive,positive
when leguizamo finally plugged an irritating character late in the movie . ,negative,negative
"thekids will probably stay amused at the kaleidoscope of big , colorful characters . ",positive,positive
"mattei is tiresomely grave and long-winded , as if circularity itself indicated profundity . ",negative,negative
... plays like somebody spliced random moments of a chris rock routine into what is otherwise a cliche-riddled but self-serious spy thriller . ,negative,negative
"an overemphatic , would-be wacky , ultimately tedious sex farce . ",negative,negative
it all adds up to good fun . ,positive,positive
"whether writer-director anne fontaine 's film is a ghost story , an account of a nervous breakdown , a trip down memory lane , all three or none of the above , it is as seductive as it is haunting . ",positive,positive
another in-your-face wallow in the lower depths made by people who have never sung those blues . ,negative,negative
"a very well-made , funny and entertaining picture . ",positive,positive
"it 's worth seeing just on the basis of the wisdom , and at times , the startling optimism , of the children . ",positive,positive
"despite its title , punch-drunk love is never heavy-handed . ",positive,positive
"if director michael dowse only superficially understands his characters , he does n't hold them in contempt . ",negative,positive
it 's refreshing to see a girl-power movie that does n't feel it has to prove anything . ,positive,positive
"the film may appear naked in its narrative form ... but it goes deeper than that , to fundamental choices that include the complexity of the catholic doctrine ",positive,positive
"however it may please those who love movies that blare with pop songs , young science fiction fans will stomp away in disgust . ",negative,negative
as vulgar as it is banal . ,negative,negative
zhang ... has done an amazing job of getting realistic performances from his mainly nonprofessional cast . ,positive,positive
"outer-space buffs might love this film , but others will find its pleasures intermittent . ",negative,negative
"maud and roland 's search for an unknowable past makes for a haunting literary detective story , but labute pulls off a neater trick in possession : he makes language sexy . ",positive,positive
more whiny downer than corruscating commentary . ,negative,negative
"there are simply too many ideas floating around -- part farce , part sliding doors , part pop video -- and yet failing to exploit them . ",negative,negative
"it 's another stale , kill-by-numbers flick , complete with blade-thin characters and terrible , pun-laden dialogue . ",negative,negative
what distinguishes time of favor from countless other thrillers is its underlying concern with the consequences of words and with the complicated emotions fueling terrorist acts . ,positive,positive
"i do n't mind having my heartstrings pulled , but do n't treat me like a fool . ",negative,negative
the movie 's accumulated force still feels like an ugly knot tightening in your stomach . ,negative,negative
at least one scene is so disgusting that viewers may be hard pressed to retain their lunch . ,negative,negative
"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ",positive,positive
"an operatic , sprawling picture that 's entertainingly acted , magnificently shot and gripping enough to sustain most of its 170-minute length . ",positive,positive
a giggle a minute . ,positive,positive
"uses sharp humor and insight into human nature to examine class conflict , adolescent yearning , the roots of friendship and sexual identity . ",positive,positive
"the continued good chemistry between carmen and juni is what keeps this slightly disappointing sequel going , with enough amusing banter -- blessedly curse-free -- to keep both kids and parents entertained . ",positive,positive
i 'm just too bored to care . ,negative,negative
"one of the more irritating cartoons you will see this , or any , year . ",negative,negative
it 's one heck of a character study -- not of hearst or davies but of the unique relationship between them . ,positive,positive
"it moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise . ",positive,negative
i am sorry that i was unable to get the full brunt of the comedy . ,negative,negative
a good piece of work more often than not . ,positive,positive
"while the ideas about techno-saturation are far from novel , they 're presented with a wry dark humor . ",positive,positive
"charles ' entertaining film chronicles seinfeld 's return to stand-up comedy after the wrap of his legendary sitcom , alongside wannabe comic adams ' attempts to get his shot at the big time . ",positive,positive
"an exhilarating futuristic thriller-noir , minority report twists the best of technology around a gripping story , delivering a riveting , pulse intensifying escapist adventure of the first order ",positive,positive
"beautifully observed , miraculously unsentimental comedy-drama . ",positive,positive
"the film 's hackneyed message is not helped by the thin characterizations , nonexistent plot and pretentious visual style . ",negative,negative
"a breezy romantic comedy that has the punch of a good sitcom , while offering exceptionally well-detailed characters . ",positive,positive
should have been someone else - ,negative,negative
coughs and sputters on its own postmodern conceit . ,negative,negative
"the lion king was a roaring success when it was released eight years ago , but on imax it seems better , not just bigger . ",positive,positive
almost gags on its own gore . ,negative,negative
a marvel like none you 've seen . ,positive,positive
"trite , banal , cliched , mostly inoffensive . ",negative,negative
"immersing us in the endlessly inventive , fiercely competitive world of hip-hop djs , the project is sensational and revelatory , even if scratching makes you itch . ",positive,positive
"the movie has an infectious exuberance that will engage anyone with a passing interest in the skate/surf culture , the l.a. beach scene and the imaginative ( and sometimes illegal ) ways kids can make a playground out of the refuse of adults . ",positive,positive
yakusho and shimizu ... create engaging characterizations in imamura 's lively and enjoyable cultural mix . ,positive,positive
"this is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ",positive,positive
"there is very little dread or apprehension , and though i like the creepy ideas , they are not executed with anything more than perfunctory skill . ",negative,negative
the notion that bombing buildings is the funniest thing in the world goes entirely unexamined in this startlingly unfunny comedy . ,negative,negative
"good car chases , great fight scenes , and a distinctive blend of european , american and asian influences . ",positive,positive
"the last 20 minutes are somewhat redeeming , but most of the movie is the same teenage american road-trip drek we 've seen before - only this time you have to read the fart jokes ",negative,negative
"even in its most tedious scenes , russian ark is mesmerizing . ",positive,positive
"with its dogged hollywood naturalism and the inexorable passage of its characters toward sainthood , windtalkers is nothing but a sticky-sweet soap . ",negative,negative
"generally , clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler , while happily killing 94 minutes . ",positive,positive
"something akin to a japanese alice through the looking glass , except that it seems to take itself far more seriously . ",positive,negative
oh come on . ,negative,negative
"a moody , multi-dimensional love story and sci-fi mystery , solaris is a thought-provoking , haunting film that allows the seeds of the imagination to germinate . ",positive,positive
"not only are the special effects and narrative flow much improved , and daniel radcliffe more emotionally assertive this time around as harry , but the film conjures the magic of author j.k. rowling 's books . ",positive,positive
"it 's clear the filmmakers were n't sure where they wanted their story to go , and even more clear that they lack the skills to get us to this undetermined destination . ",negative,negative
"( t ) his beguiling belgian fable , very much its own droll and delicate little film , has some touching things to say about what is important in life and why . ",positive,positive
"even on those rare occasions when the narrator stops yammering , miller 's hand often feels unsure . ",negative,negative
"( chaiken 's ) talent lies in an evocative , accurate observation of a distinctive milieu and in the lively , convincing dialogue she creates for her characters . ",positive,positive
"sticky sweet sentimentality , clumsy plotting and a rosily myopic view of life in the wwii-era mississippi delta undermine this adaptation . ",negative,negative
it inspires a continuing and deeply satisfying awareness of the best movies as monumental ` picture shows . ' ,positive,positive
"featuring a dangerously seductive performance from the great daniel auteuil , `` sade '' covers the same period as kaufmann 's `` quills '' with more unsettlingly realistic results . ",positive,positive
"gives you the steady pulse of life in a beautiful city viewed through the eyes of a character who , in spite of tragic loss and increasing decrepitude , knows in his bones that he is one of the luckiest men alive . ",positive,positive
"if you are an actor who can relate to the search for inner peace by dramatically depicting the lives of others onstage , then esther 's story is a compelling quest for truth . ",positive,positive
it 's too bad that the helping hand he uses to stir his ingredients is also a heavy one . ,negative,negative
"yes , dull . ",negative,negative
"some of their jokes work , but most fail miserably and in the end , pumpkin is far more offensive than it is funny . ",negative,negative
intriguing documentary which is emotionally diluted by focusing on the story 's least interesting subject . ,positive,negative
"shaky close-ups of turkey-on-rolls , stubbly chins , liver spots , red noses and the filmmakers new bobbed do draw easy chuckles but lead nowhere . ",negative,negative
"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end . ",positive,positive
"ramsay , as in ratcatcher , remains a filmmaker with an acid viewpoint and a real gift for teasing chilly poetry out of lives and settings that might otherwise seem drab and sordid . ",positive,positive
the characters are interesting and often very creatively constructed from figure to backstory . ,positive,positive
so unremittingly awful that labeling it a dog probably constitutes cruelty to canines . ,negative,negative
reggio 's continual visual barrage is absorbing as well as thought-provoking . ,positive,positive
"adults will wish the movie were less simplistic , obvious , clumsily plotted and shallowly characterized . ",negative,negative
you will emerge with a clearer view of how the gears of justice grind on and the death report comes to share airtime alongside the farm report . ,positive,positive
"thanks to haynes ' absolute control of the film 's mood , and buoyed by three terrific performances , far from heaven actually pulls off this stylistic juggling act . ",positive,positive
the problem with this film is that it lacks focus . ,negative,negative
"belongs to daniel day-lewis as much as it belongs to martin scorsese ; it 's a memorable performance in a big , brassy , disturbing , unusual and highly successful film . ",positive,positive
involves two mysteries -- one it gives away and the other featuring such badly drawn characters that its outcome hardly matters . ,negative,negative
a tv style murder mystery with a few big screen moments ( including one that seems to be made for a different film altogether ) . ,negative,negative
a by-the-numbers patient/doctor pic that covers all the usual ground ,negative,negative
it 's a stunning lyrical work of considerable force and truth . ,positive,positive
"while undisputed is n't exactly a high , it is a gripping , tidy little movie that takes mr. hill higher than he 's been in a while . ",positive,positive
funny but perilously slight . ,positive,positive
cq 's reflection of artists and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best european directors . ,positive,positive
"even if you do n't think ( kissinger 's ) any more guilty of criminal activity than most contemporary statesmen , he 'd sure make a courtroom trial great fun to watch . ",positive,positive
"dazzling in its complexity , disturbing for its extraordinary themes , the piano teacher is a film that defies categorisation . ",positive,positive
a literate presentation that wonderfully weaves a murderous event in 1873 with murderous rage in 2002 . ,positive,positive
the script is n't very good ; not even someone as gifted as hoffman ( the actor ) can make it work . ,negative,negative
"( e ) ventually , every idea in this film is flushed down the latrine of heroism . ",negative,negative
"a cartoon that 's truly cinematic in scope , and a story that 's compelling and heartfelt -- even if the heart belongs to a big , four-legged herbivore . ",positive,positive
"it 's dumb , but more importantly , it 's just not scary . ",negative,negative
detox is ultimately a pointless endeavor . ,negative,negative
"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",negative,negative
an exquisitely crafted and acted tale . ,positive,positive
this is so bad . ,negative,negative
"it showcases carvey 's talent for voices , but not nearly enough and not without taxing every drop of one 's patience to get to the good stuff . ",negative,negative
light years / several warp speeds / levels and levels of dilithium crystals better than the pitiful insurrection . ,positive,positive
"it 's about following your dreams , no matter what your parents think . ",positive,positive
the overall effect is less like a children 's movie than a recruitment film for future hollywood sellouts . ,negative,negative
"anchored by friel and williams 's exceptional performances , the film 's power lies in its complexity . ",positive,positive
"unlike the speedy wham-bam effect of most hollywood offerings , character development -- and more importantly , character empathy -- is at the heart of italian for beginners . ",positive,positive
a sequel that 's much too big for its britches . ,negative,negative
"harrison 's flowers puts its heart in the right place , but its brains are in no particular place at all . ",positive,negative
"deadeningly dull , mired in convoluted melodrama , nonsensical jargon and stiff-upper-lip laboriousness . ",negative,negative
"dragonfly has no atmosphere , no tension -- nothing but costner , flailing away . ",negative,negative
"the film is powerful , accessible and funny . ",positive,positive
and that 's a big part of why we go to the movies . ,positive,positive
"crackerjack entertainment -- nonstop romance , music , suspense and action . ",positive,positive
the minor figures surrounding ( bobby ) ... form a gritty urban mosaic . ,positive,positive
"a poignant and compelling story about relationships , food of love takes us on a bumpy but satisfying journey of the heart . ",positive,positive
a movie that successfully crushes a best selling novel into a timeframe that mandates that you avoid the godzilla sized soda . ,positive,negative
"the vivid lead performances sustain interest and empathy , but the journey is far more interesting than the final destination . ",positive,positive
lapaglia 's ability to convey grief and hope works with weaver 's sensitive reactions to make this a two-actor master class . ,positive,positive
villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,negative,negative
"care deftly captures the wonder and menace of growing up , but he never really embraces the joy of fuhrman 's destructive escapism or the grace-in-rebellion found by his characters . ",negative,negative
"this is an egotistical endeavor from the daughter of horror director dario argento ( a producer here ) , but her raw performance and utter fearlessness make it strangely magnetic . ",positive,positive
"if looking for a thrilling sci-fi cinematic ride , do n't settle for this imposter . ",negative,negative
plays like a volatile and overlong w magazine fashion spread . ,negative,negative
"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ",positive,negative
michael gerbosi 's script is economically packed with telling scenes . ,positive,positive
moretti 's compelling anatomy of grief and the difficult process of adapting to loss . ,negative,positive
so refreshingly incisive is grant that for the first time he 'll probably appeal more to guys than to their girlfriends who drag them to this movie for the hugh factor . ,positive,positive
"comes off like a rejected abc afterschool special , freshened up by the dunce of a screenwriting 101 class . ",negative,negative
"it has its moments of swaggering camaraderie , but more often just feels generic , derivative and done to death . ",negative,negative
a romantic comedy enriched by a sharp eye for manners and mores . ,positive,positive
the fly-on-the-wall method used to document rural french school life is a refreshing departure from the now more prevalent technique of the docu-makers being a visible part of their work . ,positive,positive
rare birds has more than enough charm to make it memorable . ,positive,positive
it 's a bit disappointing that it only manages to be decent instead of dead brilliant . ,negative,negative
it has all the excitement of eating oatmeal . ,negative,negative
"it haunts , horrifies , startles and fascinates ; it is impossible to look away . ",positive,positive
"for close to two hours the audience is forced to endure three terminally depressed , mostly inarticulate , hyper dysfunctional families for the price of one . ",negative,negative
a superbly acted and funny/gritty fable of the humanizing of one woman at the hands of the unseen forces of fate . ,positive,positive
"( t ) here 's only so much anyone can do with a florid , overplotted , anne rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them . ",negative,negative
"for anyone unfamiliar with pentacostal practices in general and theatrical phenomenon of hell houses in particular , it 's an eye-opener . ",positive,positive
"`` mostly martha '' is a bright , light modern day family parable that wears its heart on its sleeve for all to see . ",positive,positive
i just loved every minute of this film . ,positive,positive
"a quiet , pure , elliptical film ",positive,positive
"a disappointment for those who love alternate versions of the bard , particularly ones that involve deep fryers and hamburgers . ",negative,negative
"a simple , but gritty and well-acted ensemble drama that encompasses a potent metaphor for a country still dealing with its fascist past . ",positive,positive
"it 's so mediocre , despite the dynamic duo on the marquee , that we just ca n't get no satisfaction . ",negative,negative
do not see this film . ,negative,negative
binoche makes it interesting trying to find out . ,positive,positive
the most compelling wiseman epic of recent years . ,positive,positive
there 's no emotional pulse to solaris . ,negative,negative
"for each chuckle there are at least 10 complete misses , many coming from the amazingly lifelike tara reid , whose acting skills are comparable to a cardboard cutout . ",negative,negative
"although huppert 's intensity and focus has a raw exhilaration about it , the piano teacher is anything but fun . ",negative,negative
"from the opening scenes , it 's clear that all about the benjamins is a totally formulaic movie . ",negative,negative
"on the heels of the ring comes a similarly morose and humorless horror movie that , although flawed , is to be commended for its straight-ahead approach to creepiness . ",positive,positive
"the film is based on truth and yet there is something about it that feels incomplete , as if the real story starts just around the corner . ",negative,negative
"i 've always dreamed of attending cannes , but after seeing this film , it 's not that big a deal . ",negative,negative
a coarse and stupid gross-out . ,negative,negative
... nothing scary here except for some awful acting and lame special effects . ,negative,negative
nothing in waking up in reno ever inspired me to think of its inhabitants as anything more than markers in a screenplay . ,negative,negative
here 's yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep . ,negative,negative
"so unassuming and pure of heart , you ca n't help but warmly extend your arms and yell ` safe ! ' ",positive,positive
it treats women like idiots . ,negative,negative
"... plot holes so large and obvious a marching band might as well be stomping through them in clown clothes , playing a college football fight song on untuned instruments . ",negative,negative
but it 's too long and too convoluted and it ends in a muddle . ,negative,negative
one of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals ... a psychological masterpiece . ,positive,positive
"although german cooking does not come readily to mind when considering the world 's best cuisine , mostly martha could make deutchland a popular destination for hungry tourists . ",positive,positive
"if the first men in black was money , the second is small change . ",negative,negative
do n't be fooled by the impressive cast list - eye see you is pure junk . ,negative,negative
"another one of those estrogen overdose movies like `` divine secrets of the ya ya sisterhood , '' except that the writing , acting and character development are a lot better . ",positive,positive
scorsese does n't give us a character worth giving a damn about . ,negative,negative
"with rabbit-proof fence , noyce has tailored an epic tale into a lean , economical movie . ",positive,positive
the plot convolutions ultimately add up to nothing more than jerking the audience 's chain . ,negative,negative
there are some wonderfully fresh moments that smooth the moral stiffness with human kindness and hopefulness . ,positive,positive
does little more than play an innocuous game of fill-in - the-blanks with a tragic past . ,negative,negative
"feature debuter d.j. caruso directs a crack ensemble cast , bringing screenwriter tony gayton 's narcotics noir to life . ",positive,positive
"it does nothing new with the old story , except to show fisticuffs in this sort of stop-go slow motion that makes the gang rumbles look like they 're being streamed over a 28k modem . ",negative,negative
"one of those energetic surprises , an original that pleases almost everyone who sees it . ",positive,positive
"seldahl 's barbara is a precise and moving portrait of someone whose world is turned upside down , first by passion and then by illness . ",positive,positive
"passable entertainment , but it 's the kind of motion picture that wo n't make much of a splash when it 's released , and will not be remembered long afterwards . ",negative,negative
the film 's tone and pacing are off almost from the get-go . ,negative,negative
lovely and poignant . ,positive,positive
"a broad , melodramatic estrogen opera that 's pretty toxic in its own right . ",negative,negative
"( director ) o'fallon manages to put some lovely pictures up on the big screen , but his skill at telling a story -- he also contributed to the screenplay -- falls short . ",negative,negative
"offers very little genuine romance and even fewer laughs ... a sad sitcom of a movie , largely devoid of charm . ",negative,negative
"though only 60 minutes long , the film is packed with information and impressions . ",positive,positive
just not campy enough ,negative,negative
"every dance becomes about seduction , where backstabbing and betrayals are celebrated , and sex is currency . ",negative,negative
"it takes a certain kind of horror movie to qualify as ` worse than expected , ' but ghost ship somehow manages to do exactly that . ",negative,negative
"it can not be enjoyed , even on the level that one enjoys a bad slasher flick , primarily because it is dull . ",negative,negative
"despite all evidence to the contrary , this clunker has somehow managed to pose as an actual feature movie , the kind that charges full admission and gets hyped on tv and purports to amuse small children and ostensible adults . ",negative,negative
it 's just filler . ,negative,negative
a hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the mason-dixon line . ,negative,negative
"one of those pictures whose promising , if rather precious , premise is undercut by amateurish execution . ",negative,negative
"the humor is n't as sharp , the effects not as innovative , nor the story as imaginative as in the original . ",negative,negative
director uwe boll and the actors provide scant reason to care in this crude '70s throwback . ,negative,negative
"... a story we have n't seen on the big screen before , and it 's a story that we as americans , and human beings , should know . ",positive,positive
if your taste runs to ` difficult ' films you absolutely ca n't miss it . ,positive,positive
"this movie is something of an impostor itself , stretching and padding its material in a blur of dead ends and distracting camera work . ",negative,negative
i got a headache watching this meaningless downer . ,negative,negative
zaidan 's script has barely enough plot to string the stunts together and not quite enough characterization to keep the faces straight . ,negative,negative
the terrific and bewilderingly underrated campbell scott gives a star performance that is nothing short of mesmerizing . ,positive,positive
"building slowly and subtly , the film , sporting a breezy spontaneity and realistically drawn characterizations , develops into a significant character study that is both moving and wise . ",positive,positive
"all the amped-up tony hawk-style stunts and thrashing rap-metal ca n't disguise the fact that , really , we 've been here , done that . ",negative,negative
"the director knows how to apply textural gloss , but his portrait of sex-as-war is strictly sitcom . ",negative,negative
"visually rather stunning , but ultimately a handsome-looking bore , the true creativity would have been to hide treasure planet entirely and completely reimagine it . ",negative,negative
"nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bad acting . ",negative,negative
big fat waste of time . ,negative,negative
"professionally speaking , it 's tempting to jump ship in january to avoid ridiculous schlock like this shoddy suspense thriller . ",negative,negative
fancy a real downer ? ,negative,negative
"instead , he shows them the respect they are due . ",positive,positive
"first-time writer-director serry shows a remarkable gift for storytelling with this moving , effective little film . ",positive,positive
vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them . ,negative,negative
puts a human face on a land most westerners are unfamiliar with . ,positive,positive
makes for a pretty unpleasant viewing experience . ,negative,negative
ahhhh ... revenge is sweet ! ,positive,positive
"highbrow self-appointed guardians of culture need not apply , but those who loved cool as ice have at last found a worthy follow-up . ",positive,positive
"nine queens is not only than a frighteningly capable debut and genre piece , but also a snapshot of a dangerous political situation on the verge of coming to a head . ",positive,positive
like you could n't smell this turkey rotting from miles away . ,negative,negative
the performances take the movie to a higher level . ,positive,positive
davis ... is so enamored of her own creation that she ca n't see how insufferable the character is . ,negative,negative
... takes the beauty of baseball and melds it with a story that could touch anyone regardless of their familiarity with the sport ,positive,positive
"against all odds in heaven and hell , it creeped me out just fine . ",positive,negative
"as the latest bid in the tv-to-movie franchise game , i spy makes its big-screen entry with little of the nervy originality of its groundbreaking small-screen progenitor . ",negative,negative
"there 's really only one good idea in this movie , but the director runs with it and presents it with an unforgettable visual panache . ",positive,positive
"the so-inept - it 's - surreal dubbing ( featuring the voices of glenn close , regis philbin and breckin meyer ) brings back memories of cheesy old godzilla flicks . ",negative,negative
"without non-stop techno or the existential overtones of a kieslowski morality tale , maelström is just another winter sleepers . ",negative,negative
an unclassifiably awful study in self - and audience-abuse . ,negative,negative
the moviegoing equivalent of going to a dinner party and being forced to watch the host and hostess 's home video of their baby 's birth . ,negative,negative
"kinnear does n't aim for our sympathy , but rather delivers a performance of striking skill and depth . ",positive,positive
few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands . ,positive,positive
"it is amusing , and that 's all it needs to be . ",positive,positive
"challenging , intermittently engrossing and unflaggingly creative . ",positive,positive
for the most part stevens glides through on some solid performances and witty dialogue . ,positive,positive
this flick is about as cool and crowd-pleasing as a documentary can get . ,positive,positive
nervous breakdowns are not entertaining . ,negative,negative
"writer-director 's mehta 's effort has tons of charm and the whimsy is in the mixture , the intoxicating masala , of cultures and film genres . ",positive,positive
"excessive , profane , packed with cartoonish violence and comic-strip characters . ",negative,negative
a taut psychological thriller that does n't waste a moment of its two-hour running time . ,positive,positive
burns never really harnesses to full effect the energetic cast . ,negative,negative
just embarrassment and a vague sense of shame . ,negative,negative
"still , as a visual treat , the film is almost unsurpassed . ",positive,positive
"harris commands the screen , using his frailty to suggest the ravages of a life of corruption and ruthlessness . ",positive,positive
or emptying rat traps . ,negative,negative
"offers much to enjoy ... and a lot to mull over in terms of love , loyalty and the nature of staying friends . ",positive,positive
the piquant story needs more dramatic meat on its bones . ,negative,negative
my wife is an actress is an utterly charming french comedy that feels so american in sensibility and style it 's virtually its own hollywood remake . ,positive,positive
indifferently implausible popcorn programmer of a movie . ,negative,negative
"an important movie , a reminder of the power of film to move us and to make us examine our values . ",positive,positive
the magic of the film lies not in the mysterious spring but in the richness of its performances . ,positive,positive
"this re-do is so dumb and so exploitative in its violence that , ironically , it becomes everything that the rather clumsy original was railing against . ",negative,negative
"the jabs it employs are short , carefully placed and dead-center . ",positive,positive
"while locals will get a kick out of spotting cleveland sites , the rest of the world will enjoy a fast-paced comedy with quirks that might make the award-winning coen brothers envious . ",positive,positive
"the words , ` frankly , my dear , i do n't give a damn , ' have never been more appropriate . ",negative,positive
"the longer the movie goes , the worse it gets , but it 's actually pretty good in the first few minutes . ",negative,positive
too much of the humor falls flat . ,negative,negative
"further proof that the epicenter of cool , beautiful , thought-provoking foreign cinema is smack-dab in the middle of dubya 's axis of evil . ",positive,negative
the film 's few ideas are stretched to the point of evaporation ; the whole central section is one big chase that seems to have no goal and no urgency . ,negative,negative
"too slow , too long and too little happens . ",negative,negative
"due to some script weaknesses and the casting of the director 's brother , the film trails off into inconsequentiality . ",negative,negative
very bad . ,negative,negative
"a lackluster , unessential sequel to the classic disney adaptation of j.m. barrie 's peter pan . ",negative,negative
a science-fiction pastiche so lacking in originality that if you stripped away its inspirations there would be precious little left . ,negative,negative
"birthday girl is an amusing joy ride , with some surprisingly violent moments . ",positive,positive
"so much facile technique , such cute ideas , so little movie . ",positive,negative
"expect the same-old , lame-old slasher nonsense , just with different scenery . ",negative,negative
"a smart , witty follow-up . ",positive,positive
chabrol has taken promising material for a black comedy and turned it instead into a somber chamber drama . ,negative,negative
"like mike is a winner for kids , and no doubt a winner for lil bow wow , who can now add movies to the list of things he does well . ",positive,positive
"it 's another video movie photographed like a film , with the bad lighting that 's often written off as indie film naturalism . ",negative,negative
there 's not enough here to justify the almost two hours . ,negative,negative
"it will grip even viewers who are n't interested in rap , as it cuts to the heart of american society in an unnerving way . ",positive,positive
"the film is beautifully mounted , but , more to the point , the issues are subtly presented , managing to walk a fine line with regard to the question of joan 's madness . ",positive,positive
